"Source","ImageSHA256","VolumeName","InterpreterFilename","InterpreterSHA256","PascalSHA256","LibrarySHA256","BootBlocksSHA256","ResultDirectory"
"images/educational/Reading Workshop - Distant Views (4am crack).zip!Reading Workshop - Distant Views (4am crack)/Reading Workshop - Distant Views (4am crack) side A.dsk","a53734bc1615233e12c1118655ffbd97d32933ac6ca33059fa7f2193f7cd482f","TEXT","SYSTEM.APPLE","b0d6ae9829da793cf605ae4cfc09b229f8130cd46a53db451eed226d8a986873","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","85a4cd902d1cb48ee224d4741cb67eaa1280971bde9150a1edb7797142db7e47","802a8c6c14f2461b8132dfbcda29cbdc91d8acde288b022797765a232e32555a","/Users/chris/Repos/pdisasm/Tools/4am/images/a53734bc1615233e12c1118655ffbd97d32933ac6ca33059fa7f2193f7cd482f"
"images/educational/Alaska (4am crack) disk 8 - New People - Russian America 1781-1819.dsk","bd3c1aac3e9119cf65dc8cc443edbd0da6111704b74cdfa1fcf29090222cb76b","LESSONS","RT0006.APPLE","94eb6d37113cf3b9a8e2fa93aadafa08bac16fdcc578138fd9ace5848fd45a73","6dc9c38c6d99a5ea509b6d977b9729648e17bebf810eb9ef79bee1fcc07e7d01","6e03d304fe44a9492d92bf1fced61bde6f000f10a851f9a9d06dde11048de69c","72cd81575a7dfd00093d4636232f662ac486851600c5ffc0b029de7a0d613b06","/Users/chris/Repos/pdisasm/Tools/4am/images/bd3c1aac3e9119cf65dc8cc443edbd0da6111704b74cdfa1fcf29090222cb76b"
"images/educational/Solar Reading Flight 1 - Saturn (4am crack).zip!Solar Reading Flight 1 - Saturn (4am crack)/Solar Reading Flight 1 - Saturn (4am crack).dsk","3ce7b75596794b6e460dd095d77274b60fb44ee4598da8aeee2467bd12307f22","SATURN","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","5b9a1623b5d20f9b5707d5b0cd884b0b26546e1889ebb0ec9d17d4dc59de2e83","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/4am/images/3ce7b75596794b6e460dd095d77274b60fb44ee4598da8aeee2467bd12307f22"
"images/educational/Writing Skills volume 2 (4am crack) disk 1.dsk","e5627709ac0a7f266a8808535c20a3e5b0a8ed7cbaedf2404e29e98434d891d2","WS","SYSTEM.APPLE","47ffb6efa0d0047b8f37b5cb814eca7772af2ddec3e6e6522332992ef4aec70b","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","849fd458c412a5a8d64b50b33482f92ebade2106505ba1938c10f3c18659dc02","c0a8816dc817ceef784b8672328d621e5220e875edd899df4e1fdac500aa847a","/Users/chris/Repos/pdisasm/Tools/4am/images/e5627709ac0a7f266a8808535c20a3e5b0a8ed7cbaedf2404e29e98434d891d2"
"images/educational/Mixed Number Concepts (4am crack).zip!Mixed Number Concepts (4am crack)/Mixed Number Concepts (4am crack) side B - tests.dsk","02f9ab16b2c12a73f60ccf4026e8cdeb7f01522643770c2aa9138701b9c39191","BFRAC","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","e5d5b7efb9517fabd9ceda1a80e244f0cbe59dc1b3421364367dc270f0d7f926","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/4am/images/02f9ab16b2c12a73f60ccf4026e8cdeb7f01522643770c2aa9138701b9c39191"
"images/educational/Mixed Number Concepts (4am crack).zip!Mixed Number Concepts (4am crack)/Mixed Number Concepts (4am crack) side A - lessons.dsk","1e08098932ee5f4c5b07b908e5ffed0960476ffd1e1a52e8b24ee3ac2d9ab75f","BFRAC","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","a086f8ec93ba0ace22eec8f255da81d2c365788e3e7c24498f64d65b61b99fd4","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/4am/images/1e08098932ee5f4c5b07b908e5ffed0960476ffd1e1a52e8b24ee3ac2d9ab75f"
"images/educational/Geometric Figures - Angles and Right Angles (4am crack).zip!Geometric Figures - Angles and Right Angles (4am crack)/Geometric Figures - Angles and Right Angles (4am crack).dsk","d1da608b574c7c5de4b3f9f3ae80530f804f79aeec3ecca503623146fda347b9","SYSMAS","SYSTEM.APPLE","2d9d547e62a2b566b2cb2a26f311b321ab1d95a06cf6aaa68d1e9930fdd6b40d","98eb236ebae21950de87485bd83256642a73bb0727aae60d2cbbaf97165c6e15","1f4ab0662f085269e76c315b2cd1ddea6fba56b84da34249f0eed97af3ffc7f6","048c089e53438cc7066a73065409827ee44a382c798ce3718897716279cfc3dc","/Users/chris/Repos/pdisasm/Tools/4am/images/d1da608b574c7c5de4b3f9f3ae80530f804f79aeec3ecca503623146fda347b9"
"images/educational/Simplest Form of a Fraction (4am crack).zip!Simplest Form of a Fraction (4am crack)/Simplest Form of a Fraction (4am crack).dsk","7719d49b1bb9db7be8559a3e179362076c99c60970848a0a067b7faed7df3d74","SYSMAS","SYSTEM.APPLE","2d9d547e62a2b566b2cb2a26f311b321ab1d95a06cf6aaa68d1e9930fdd6b40d","98eb236ebae21950de87485bd83256642a73bb0727aae60d2cbbaf97165c6e15","1f4ab0662f085269e76c315b2cd1ddea6fba56b84da34249f0eed97af3ffc7f6","048c089e53438cc7066a73065409827ee44a382c798ce3718897716279cfc3dc","/Users/chris/Repos/pdisasm/Tools/4am/images/7719d49b1bb9db7be8559a3e179362076c99c60970848a0a067b7faed7df3d74"
"images/educational/Basic Fraction Concepts (4am crack).zip!Basic Fraction Concepts (4am crack)/Basic Fraction Concepts (4am crack) side B.dsk","d85527f6a6840937100bef852566d5a93d34d521e75c466271fb9d6b26e9bb4e","FRAC1","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","e5d5b7efb9517fabd9ceda1a80e244f0cbe59dc1b3421364367dc270f0d7f926","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/4am/images/d85527f6a6840937100bef852566d5a93d34d521e75c466271fb9d6b26e9bb4e"
"images/educational/Improper Fractions (4am crack).zip!Improper Fractions (4am crack)/Improper Fractions (4am crack).dsk","eb5303e328d6b0a3c5b05762f3eb999e6c4c4526bc739294015b25e23463437a","4FR-01","SYSTEM.APPLE","2d9d547e62a2b566b2cb2a26f311b321ab1d95a06cf6aaa68d1e9930fdd6b40d","98eb236ebae21950de87485bd83256642a73bb0727aae60d2cbbaf97165c6e15","1f4ab0662f085269e76c315b2cd1ddea6fba56b84da34249f0eed97af3ffc7f6","048c089e53438cc7066a73065409827ee44a382c798ce3718897716279cfc3dc","/Users/chris/Repos/pdisasm/Tools/4am/images/eb5303e328d6b0a3c5b05762f3eb999e6c4c4526bc739294015b25e23463437a"
