"Source","ImageSHA256","VolumeName","InterpreterFilename","InterpreterSHA256","PascalSHA256","LibrarySHA256","BootBlocksSHA256","ResultDirectory"
"Computers/Apple II/Apple IIe/Disk Images/Apple Presents the IIe Disk 2.dsk","e368ba1dc37000c40846a25f33fdbd784767f63711c25fc682b7c1686658db20","NO.DEMO","SYSTEM.APPLE","8fb30ba2a7b54d49b55536d13db8252d192f230df14a2f0eba5a8830c9fe1c2e","e44ba3e9ef9840bec2b28407a825d29f9fb3e0cc1c84f137fa0c887489e21af6","7bff9bff452a570b24b66053881e33a45ac7407b8340616b32e0751a3dbaacfe","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2dp/images/e368ba1dc37000c40846a25f33fdbd784767f63711c25fc682b7c1686658db20"
"Computers/Apple II/Apple IIe/Disk Images/Apple Presents the IIe Disk 1.dsk","24c7f31bf7cdb3aa5deca886520b12eafbbc651d0fc2f842da274c92d324602f","KBDRUN","SYSTEM.APPLE","8fb30ba2a7b54d49b55536d13db8252d192f230df14a2f0eba5a8830c9fe1c2e","e44ba3e9ef9840bec2b28407a825d29f9fb3e0cc1c84f137fa0c887489e21af6","09814b0ce5b84cd1856df50f662c5068654f9462f62a82768b4f999e02842576","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2dp/images/24c7f31bf7cdb3aa5deca886520b12eafbbc651d0fc2f842da274c92d324602f"
"Computers/Apple II/Apple IIc/Disk Images/Apple IIc - The Apple at Work 80 columns.po","5ae7e1839f62b682576610bc711c53c341feb6fa4523ef12ed84d8b8c2128f83","WORK.80","SYSTEM.APPLE","6ab94396865ed6942ced3b61fe998b3d043d921a7566963dee64f74c48fd876e","efe7629a1794860c2db6919e3f0b3f6e9437c94438626e22dd78d9ac523a55eb","","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2dp/images/5ae7e1839f62b682576610bc711c53c341feb6fa4523ef12ed84d8b8c2128f83"
"Computers/Apple II/Apple IIc/Disk Images/Apple IIc - The Apple at Work 40 columns.po","d421af787d122eb894bfc241ce22c1fa3709fc28d124b7640a9ca976f45201cb","WORK.40","SYSTEM.APPLE","6ab94396865ed6942ced3b61fe998b3d043d921a7566963dee64f74c48fd876e","efe7629a1794860c2db6919e3f0b3f6e9437c94438626e22dd78d9ac523a55eb","","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2dp/images/d421af787d122eb894bfc241ce22c1fa3709fc28d124b7640a9ca976f45201cb"
"Computers/Apple II/Apple IIc/Disk Images/Apple IIc - Exploring Apple Logo.po","be992edd7647a17fcae39d4ae88e60c62aa258cc4537617854b60fbb2bdc9554","LOGORUN","SYSTEM.APPLE","8fb30ba2a7b54d49b55536d13db8252d192f230df14a2f0eba5a8830c9fe1c2e","e44ba3e9ef9840bec2b28407a825d29f9fb3e0cc1c84f137fa0c887489e21af6","53534a6f9b4374c5b562658758b4795329b39335207c74c60ecd659656d53c38","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2dp/images/be992edd7647a17fcae39d4ae88e60c62aa258cc4537617854b60fbb2bdc9554"
"Computers/Apple II/Apple IIc/Disk Images/Apple IIc - An introduction to the Apple IIc Computer.po","fc3c8aa370ebf1bb7a1569ee1084fdef3d6345d35cd83da4f6c59de5a7dd1199","KBDRUN","SYSTEM.APPLE","8fb30ba2a7b54d49b55536d13db8252d192f230df14a2f0eba5a8830c9fe1c2e","e44ba3e9ef9840bec2b28407a825d29f9fb3e0cc1c84f137fa0c887489e21af6","236666acc253495f77ea5cdac1c488c199344a651efcf33b0cce484de264889a","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2dp/images/fc3c8aa370ebf1bb7a1569ee1084fdef3d6345d35cd83da4f6c59de5a7dd1199"
"Software/Operating Systems/Apple Pascal/Disk Images/Profile Ltd Data Recovery.po","58c8af6bcddc8a1ceea4cafdf3838b914eef2cda2c82bec33868512d40fa0278","RECOVER","SYSTEM.APPLE","6701bcee4840864e6306d744c12fa3c6d47413321eebbe15cbe1bab3d23118e9","fb5421152940287c0c0c49d4c5b9b50074d7f33722b5c8c5d1a44acc2d537657","85a4cd902d1cb48ee224d4741cb67eaa1280971bde9150a1edb7797142db7e47","c7970cfa1e71fac107bc52d78765188371e30c0b3d66339000f73c5b72538763","/Users/chris/Repos/pdisasm/Tools/a2dp/images/58c8af6bcddc8a1ceea4cafdf3838b914eef2cda2c82bec33868512d40fa0278"
"Software/Operating Systems/Apple Pascal/Disk Images/Apple Pascal 1 - 680-0230-A.dsk","261c3a0bc2d62a027688b5e6c26689ae9c2ce39e317d655c879259657c3ea9b6","APPLE1","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","2b240af2c619b5e61b3f992a6dfadec3b05436c1aadfc1be264df95d48281375","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2dp/images/261c3a0bc2d62a027688b5e6c26689ae9c2ce39e317d655c879259657c3ea9b6"
"Software/Operating Systems/Apple Pascal/Disk Images/Apple Pascal 1 - 680-0004-01.dsk","d6e7509a8ae0c0157f84634c40dd04c22f424b3540d344e5db10bc98fec74229","APPLE1","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","e3996bf923db8a596935df7856da745b24f8afedd8a773d4034a9e796a2446cc","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2dp/images/d6e7509a8ae0c0157f84634c40dd04c22f424b3540d344e5db10bc98fec74229"
"Software/Operating Systems/Apple Pascal/Disk Images/Apple Pascal 1 - 680-0004-00.dsk","249ac254217b03515b4f505d0b675cda50caad99b47dff7cc2d7d40dcaec70e4","APPLE1","SYSTEM.APPLE","974c1e5716e7e1c71215d54531a881e07268104f1e63c94648da54cd1e506672","6d94a0a72343c9147899422717669766597a35ebaf1638dc48901bf1f9b97373","00e5ccd2e0f58558e65181be8f38bf298b7bfefbf7a49918c35b73ec1775f992","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2dp/images/249ac254217b03515b4f505d0b675cda50caad99b47dff7cc2d7d40dcaec70e4"
