source	stage	diagnostic
GS.Emulators/XGS.win32.v1.0 and up/xgs32_10.zip	archive	archive extraction failed
Languages.Programming/lsaneglue10.shk	archive	ShrinkIt extraction failed
Languages.Programming/A2.Programmer's.Archive/NEW.BONUS.GOODIES/ARCHI.8.SHK	archive	ShrinkIt extraction failed
Languages.Programming/A2.Programmer's.Archive/hypercinfo.shk	archive	ShrinkIt extraction failed
Languages.Programming/A2.Programmer's.Archive/lisa2.shk	archive	ShrinkIt extraction failed
Languages.Programming/A2.Programmer's.Archive/lisa1.shk	archive	ShrinkIt extraction failed
Languages.Programming/ArcadeKingSuper_v3.0/ArcadeKingSuper.SHK	archive	ShrinkIt extraction failed
Languages.Programming/Genesys.DIALOG.SHK	archive	ShrinkIt extraction failed
Languages.Programming/PYTHON.GS/Python.Docs.shk	archive	ShrinkIt extraction failed
Languages.Programming/PegasusPascal.v2.1/PP.2.1.SHK	archive	ShrinkIt extraction failed
Fonts.and.Font.Utils/GS.FONT.EDITOR.SHK	archive	ShrinkIt extraction failed
HyperStudio/HS.CLASSIC.STACKS/Escher.shk	archive	ShrinkIt extraction failed
Utilities/diskQuest.P8.shk	archive	ShrinkIt extraction failed
Utilities/NDAs.CDAs/TWGS.Shift.SHK	archive	ShrinkIt extraction failed
Utilities/Appletalk.and.related/atalk.shk!MAKE.ZIP	archive	archive extraction failed
Monthly.Disks.Collections/AUGE.PD.CD/GS.Pics/Disk_171___GS.Pics.08/Bilder1.SHK	archive	ShrinkIt extraction failed
Monthly.Disks.Collections/AUGE.PD.CD/GS.Pics/Disk_226___GS.Pics.12/Animation.SHK	archive	ShrinkIt extraction failed
Monthly.Disks.Collections/AUGE.PD.CD/gs.8bit/disk 065d0cags.8bit.04/unidisk.shk	archive	ShrinkIt extraction failed
Monthly.Disks.Collections/AUGE.PD.CD/gs.8bit/disk 117d0cags.8bit.07/shrinkit3.4.shk	archive	ShrinkIt extraction failed
Monthly.Disks.Collections/AUGE.PD.CD/GS.Games/Disk033.GS.Games.03/Bounce.It.SHK	archive	ShrinkIt extraction failed
Monthly.Disks.Collections/AUGE.PD.CD/GS.Games/Disk033.GS.Games.03/Mastermind.SHK	archive	ShrinkIt extraction failed
Monthly.Disks.Collections/AUGE.PD.CD/GS.NDAs.CDAs/Disk.015.GS.NDAs.01/Utilities/TWGS.Shift.SHK	archive	ShrinkIt extraction failed
Monthly.Disks.Collections/AUGE.PD.CD/gs.diverses/disk 012 d0 gs.diverses.01/ps.font.shk	archive	ShrinkIt extraction failed
Monthly.Disks.Collections/GS.PLUS/gsp.v2.n1.txt.shk	archive	ShrinkIt extraction failed
Music.and.Sound/oversampler.shk	archive	ShrinkIt extraction failed
Music.and.Sound/SEQMAKER.SHK	archive	ShrinkIt extraction failed
Music.and.Sound/BackgroundSoundCDA.1.2.shk	archive	ShrinkIt extraction failed
Music.and.Sound/SSv1.2.SHK	archive	ShrinkIt extraction failed
Music.and.Sound/Toner.2.0.shk	archive	ShrinkIt extraction failed
Music.and.Sound/asif.converter.shk	archive	ShrinkIt extraction failed
Funwares/BoingerINIT.shk!Boinger/Boinger.zip	archive	archive extraction failed
Z80.CPM/CPM226B.ZIP	archive	archive extraction failed
Applications/Telcom/FV1.shk	archive	ShrinkIt extraction failed
Applications/Telcom/FV2.shk	archive	ShrinkIt extraction failed
Applications/Calendar.craft.SHK	archive	ShrinkIt extraction failed
FAQs.and.INFO/CrackingAndCopying/KrackingByDJtch.shk	archive	ShrinkIt extraction failed
Graphics/ImageQuant.shk	archive	ShrinkIt extraction failed
Graphics/CONVERT.ICON.to.SHR.SHK	archive	ShrinkIt extraction failed
Graphics/jpeGS.v1.1.shk	archive	ShrinkIt extraction failed
Graphics/SHRCONVERT.v2.1.SHK	archive	ShrinkIt extraction failed
Graphics/VIEW.3200.v1.SHK	archive	ShrinkIt extraction failed
Graphics/graf256.v15.shk	archive	ShrinkIt extraction failed
Graphics/ShowMe1.1.shk	archive	ShrinkIt extraction failed
Games/bouncing ferno 2/bouncinfrno.II.shk	archive	ShrinkIt extraction failed
Games/gnarly golf/GNARLYGOLF1.shk	archive	ShrinkIt extraction failed
Games/Triango/GAME.SHK	archive	ShrinkIt extraction failed
Games/dragon wars/DRAGONWARS.shk	archive	ShrinkIt extraction failed
Games/dinosaur/Build.Print.shk	archive	ShrinkIt extraction failed
Games/SOD.SHK	archive	ShrinkIt extraction failed
Games/three stooges/THREESTOOGES1.shk	archive	ShrinkIt extraction failed
Games/gamestuff/patches/U4MockV2.shk	archive	ShrinkIt extraction failed
Demos/plotting.gs.shk	archive	ShrinkIt extraction failed
