source	stage	diagnostic
Emulators/unimage0.1.shk	archive	ShrinkIt extraction failed
Emulators/deimage0.1.shk	archive	ShrinkIt extraction failed
apple8/Music/ALF/ALF-songs.6.shk!SONGS/JACK.TAR	archive	archive extraction failed
apple8/Pgms/iigif.shk	archive	ShrinkIt extraction failed
apple8/Pgms/Old.files/IIsound/iisoundbeta.shk	archive	ShrinkIt extraction failed
apple8/Pgms/dsk2file.shk	archive	ShrinkIt extraction failed
apple8/Utils/RENUMBER.SHK	archive	ShrinkIt extraction failed
apple8/Utils/Old.files/unforkit0.1.shk	archive	ShrinkIt extraction failed
apple8/Utils/mtclock.shk	archive	ShrinkIt extraction failed
apple8/Printshop/PSGC2.SHK	archive	ShrinkIt extraction failed
apple8/Printshop/PSCONVERT.SHK	archive	ShrinkIt extraction failed
apple8/Games/Hera.dec94/HERA2.SHK	archive	ShrinkIt extraction failed
apple8/Games/Hera/HERA2.SHK	archive	ShrinkIt extraction failed
Mirrors/uni-kl/gs/hypercard/utilities/GSify.2.0.shk	archive	ShrinkIt extraction failed
Mirrors/uni-kl/gs/demos/funware/BoingerINIT.shk!Boinger/Boinger.zip	archive	archive extraction failed
Mirrors/wustl/GS/Gno/purge.shk	archive	ShrinkIt extraction failed
Mirrors/wustl/Util/resurection.shk	archive	ShrinkIt extraction failed
Mirrors/ms.uky/shells.and.lang/HyperC.all.tar!HYPERC.SHK	archive	ShrinkIt extraction failed
Mirrors/ms.uky/games/GATE.DEMO.SHK	archive	ShrinkIt extraction failed
Mirrors/ms.uky/demos/ACS.gs.shk	archive	ShrinkIt extraction failed
Mirrors/nodak/gs/graphics/Gifview.shk	archive	ShrinkIt extraction failed
Mirrors/nodak/gs/startup/Taifun.shk	archive	ShrinkIt extraction failed
Mirrors/nodak/8bit/packers/shrinkit322.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/synthlab/vivaldiseq.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/synthlab/slsongs1.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/synthlab/touchofspain.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/synthlab/slsongs2.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/synthlab/slsongs3.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/synthlab/stds9seq.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/synthlab/tvseq.shk	archive	ShrinkIt extraction failed
