"Source","ImageSHA256","VolumeName","InterpreterFilename","InterpreterSHA256","PascalSHA256","LibrarySHA256","BootBlocksSHA256","ResultDirectory"
"Applications/ZZZ-UNK-Universal_file_converter (19xx)(-).dsk","3ad63eb1e2681a539d5be79cd8c7f1b3dee94bf30dffda772603cb408c78b415","UFC","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","85a4cd902d1cb48ee224d4741cb67eaa1280971bde9150a1edb7797142db7e47","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/landover/images/3ad63eb1e2681a539d5be79cd8c7f1b3dee94bf30dffda772603cb408c78b415"
"Applications/Algebra Mentor (19xx)(John C. Miller)(Disk 2 of 7 Side A)(Student Disk 2).dsk","655bb6b5c8f81ded6c7bb1d1cb8783908a69322775826ad03dafb1b6515bad6c","A1012","SYSTEM.APPLE","67adc957afa1fc3cae9177ef42846ea1c31fd44f5a00e0694f63acafd248aed5","3189798e4f598903441f35941277fa9d412ea0cba298e662923f8e2e50003f29","37c650e378f29de68fffea5ec767b45dd61af19475729200ecef2308d7006628","87c04f66bd4ef7e6c5a1dd7afbcc66af82a7bdb5da40d46e9d266e8bbae64549","/Users/chris/Repos/pdisasm/Tools/landover/images/655bb6b5c8f81ded6c7bb1d1cb8783908a69322775826ad03dafb1b6515bad6c"
"Applications/Algebra Mentor (19xx)(John C. Miller)(Disk 7 of 7 Side A)(Student Disk 7).dsk","2c7556853014cae96c132d5f520094b226776372c97a30e8aa4f74600751ef0e","A1017","SYSTEM.APPLE","67adc957afa1fc3cae9177ef42846ea1c31fd44f5a00e0694f63acafd248aed5","3189798e4f598903441f35941277fa9d412ea0cba298e662923f8e2e50003f29","0ac8e37ac30e7d04935233444b0c193d983b3dae5797ac0511a6dfc8d1db5291","33bc19fa31aeae899c0d24964341b7ded1e67949434ef25152c3eadd17ccad05","/Users/chris/Repos/pdisasm/Tools/landover/images/2c7556853014cae96c132d5f520094b226776372c97a30e8aa4f74600751ef0e"
"Applications/Think Tank v1.001 (1983)(-)(Disk 1 of 2).dsk","4d9c66751215a9cc28c10d54ffee4a03cbc4ae15581a95ded587de57b44e0339","TT01","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","799bae3b1f8d48a136c89e617846e579b5ebe76f95ed12dd0de42458878d6074","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/landover/images/4d9c66751215a9cc28c10d54ffee4a03cbc4ae15581a95ded587de57b44e0339"
"Applications/Algebra Mentor (19xx)(John C. Miller)(Disk 5 of 7 Side A)(Student Disk 5).dsk","6a594d0b6e222f7417ba483e6c6cce4c00ba5c3f0e82eb04470d729592d1c584","A1015","SYSTEM.APPLE","67adc957afa1fc3cae9177ef42846ea1c31fd44f5a00e0694f63acafd248aed5","3189798e4f598903441f35941277fa9d412ea0cba298e662923f8e2e50003f29","0ac8e37ac30e7d04935233444b0c193d983b3dae5797ac0511a6dfc8d1db5291","ec2b0592ecb4866aa91051e43b23b9734480e9d3f5e93e82e765f5275f651049","/Users/chris/Repos/pdisasm/Tools/landover/images/6a594d0b6e222f7417ba483e6c6cce4c00ba5c3f0e82eb04470d729592d1c584"
"Applications/ZZZ-UNK-Quick File II.dsk","22115437c78dba45ef817d9782971025f7ea6956ade47788bcb054acafe6deec","AIIQF","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","e8a40750287a22ac92236b2aa25f64953a76b2904c06b388ebb9aed716f36e92","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/landover/images/22115437c78dba45ef817d9782971025f7ea6956ade47788bcb054acafe6deec"
"Applications/Algebra Mentor (19xx)(John C. Miller)(Disk 4 of 7 Side B)(Student Disk 4).dsk","5a1079081651c19ea81aebeb202e00d16477bb3097b89320881f96f7c56f7a07","A1014","SYSTEM.APPLE","63c1c07794a1ab9e0965f68393001f5fc1fff55fe3b7cc6aa7fb12bf66f35097","2ec2736219293eb985f5da6faa66c76606ea981f4984aba3d1b2131fc6117f2c","0ac8e37ac30e7d04935233444b0c193d983b3dae5797ac0511a6dfc8d1db5291","87c04f66bd4ef7e6c5a1dd7afbcc66af82a7bdb5da40d46e9d266e8bbae64549","/Users/chris/Repos/pdisasm/Tools/landover/images/5a1079081651c19ea81aebeb202e00d16477bb3097b89320881f96f7c56f7a07"
"Applications/ZZZ-UNK-Chatmau (19xx)(-)(Disk 1 of 1 Side A).dsk","6280e9e46ec12bfde5a702d39fc57bd375b0396888674aa62f49d6a63c9ecf6d","EDITEUR","SYSTEM.APPLE","6701bcee4840864e6306d744c12fa3c6d47413321eebbe15cbe1bab3d23118e9","fb5421152940287c0c0c49d4c5b9b50074d7f33722b5c8c5d1a44acc2d537657","a06861f09ad4b8aa54c886fe7a7beaed26ef01a8717f5ea56e45966967e8acac","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/landover/images/6280e9e46ec12bfde5a702d39fc57bd375b0396888674aa62f49d6a63c9ecf6d"
"Applications/Algebra Mentor (19xx)(John C. Miller)(Disk 1 of 7 Side B)(Student Disk 1).dsk","61a348f1e1da6e84354098908e4ef3acf70b7ba14a43c53d2b5027646b926b7e","A1011","SYSTEM.APPLE","63c1c07794a1ab9e0965f68393001f5fc1fff55fe3b7cc6aa7fb12bf66f35097","2ec2736219293eb985f5da6faa66c76606ea981f4984aba3d1b2131fc6117f2c","0ac8e37ac30e7d04935233444b0c193d983b3dae5797ac0511a6dfc8d1db5291","ec2b0592ecb4866aa91051e43b23b9734480e9d3f5e93e82e765f5275f651049","/Users/chris/Repos/pdisasm/Tools/landover/images/61a348f1e1da6e84354098908e4ef3acf70b7ba14a43c53d2b5027646b926b7e"
"Applications/Algebra Mentor (19xx)(John C. Miller)(Disk 3 of 7 Side B)(Student Disk 3).dsk","c99de096d8d682ce22c49c4462625ae6aa9cc6e7659f25fc59eeed3abb739249","A1013","SYSTEM.APPLE","63c1c07794a1ab9e0965f68393001f5fc1fff55fe3b7cc6aa7fb12bf66f35097","2ec2736219293eb985f5da6faa66c76606ea981f4984aba3d1b2131fc6117f2c","0ac8e37ac30e7d04935233444b0c193d983b3dae5797ac0511a6dfc8d1db5291","87c04f66bd4ef7e6c5a1dd7afbcc66af82a7bdb5da40d46e9d266e8bbae64549","/Users/chris/Repos/pdisasm/Tools/landover/images/c99de096d8d682ce22c49c4462625ae6aa9cc6e7659f25fc59eeed3abb739249"
"Applications/Algebra Mentor (19xx)(John C. Miller)(Disk 6 of 7 Side B)(Student Disk 6).dsk","5b7801aca541c382a5ab509c0814daf852d39e1aa832b535d29452a6272a7055","A1016","SYSTEM.APPLE","63c1c07794a1ab9e0965f68393001f5fc1fff55fe3b7cc6aa7fb12bf66f35097","2ec2736219293eb985f5da6faa66c76606ea981f4984aba3d1b2131fc6117f2c","0ac8e37ac30e7d04935233444b0c193d983b3dae5797ac0511a6dfc8d1db5291","4110002f28fe97ba6534e50090ce14b8c436d5a62a9af88d873c22551fa03608","/Users/chris/Repos/pdisasm/Tools/landover/images/5b7801aca541c382a5ab509c0814daf852d39e1aa832b535d29452a6272a7055"
"Applications/Algebra Mentor Test Generator (1986)(Wadsworth).dsk","029a6152cf41f78c853f6bc6faa63823ed1304c61c33b9c9c59165aefc0b9868","A101Q","SYSTEM.APPLE","67adc957afa1fc3cae9177ef42846ea1c31fd44f5a00e0694f63acafd248aed5","3189798e4f598903441f35941277fa9d412ea0cba298e662923f8e2e50003f29","9c0848cf9a97b336ef41f44bae92a71e80dd3c9ea59f70af909522d53724fcd3","048c089e53438cc7066a73065409827ee44a382c798ce3718897716279cfc3dc","/Users/chris/Repos/pdisasm/Tools/landover/images/029a6152cf41f78c853f6bc6faa63823ed1304c61c33b9c9c59165aefc0b9868"
"Applications/Algebra Mentor (19xx)(John C. Miller)(Disk 6 of 7 Side A)(Student Disk 6).dsk","c5759ff0e30a2bffaf08f8aed027e5de1fad16112ed1d4742d6f3a42ab24fe03","A1016","SYSTEM.APPLE","67adc957afa1fc3cae9177ef42846ea1c31fd44f5a00e0694f63acafd248aed5","3189798e4f598903441f35941277fa9d412ea0cba298e662923f8e2e50003f29","0ac8e37ac30e7d04935233444b0c193d983b3dae5797ac0511a6dfc8d1db5291","ec2b0592ecb4866aa91051e43b23b9734480e9d3f5e93e82e765f5275f651049","/Users/chris/Repos/pdisasm/Tools/landover/images/c5759ff0e30a2bffaf08f8aed027e5de1fad16112ed1d4742d6f3a42ab24fe03"
"Applications/White Disk 27A - PFS- Database (1982)(Software Publishing Corp.).dsk","05ac80a8b218ec117596ac5421526529f2744ac99986ac050c8b7a4482d75b19","PFS2B","RTSTRP.APPLE","d663e6360553609952efd622b173b3387c738b2c82a19d6b14c95b6582e49ec2","aaa96b0c5648f67d1217e6cbbba76e5447531a0cfed515a49adcc6148e7b6220","00aac73bdb87d47fcd83483ef29c6b36d75397d56cd721edbad885473e29d20c","6f95245e71173839bf5f064e06c4f78de1728c77bc9a4f04be58a1a1b44dc943","/Users/chris/Repos/pdisasm/Tools/landover/images/05ac80a8b218ec117596ac5421526529f2744ac99986ac050c8b7a4482d75b19"
