"Source","ImageSHA256","VolumeName","InterpreterFilename","InterpreterSHA256","PascalSHA256","LibrarySHA256","BootBlocksSHA256","ResultDirectory"
"images/misc/1984AppleComputerChristmasDemo.dsk","00d3caa3de8145bc72e8b6735d025694cdb0e00546503798b56e158f9c0ca14f","XMAS84","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/00d3caa3de8145bc72e8b6735d025694cdb0e00546503798b56e158f9c0ca14f"
"images/misc/The Apple at Work.dsk","e948af3d375b5fc2e36930d484381ad55e7c204708027e05170875ceb52e8191","WORK.80","SYSTEM.APPLE","6ab94396865ed6942ced3b61fe998b3d043d921a7566963dee64f74c48fd876e","efe7629a1794860c2db6919e3f0b3f6e9437c94438626e22dd78d9ac523a55eb","","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/e948af3d375b5fc2e36930d484381ad55e7c204708027e05170875ceb52e8191"
"images/misc/dk_collection/357a - Apple Presents the IIc - An Introduction.dsk","94612001033b9dae8cab993959b4dfc86a66c0f3fd5b199cde37490dc2900933","KBDRUN","SYSTEM.APPLE","8fb30ba2a7b54d49b55536d13db8252d192f230df14a2f0eba5a8830c9fe1c2e","e44ba3e9ef9840bec2b28407a825d29f9fb3e0cc1c84f137fa0c887489e21af6","862907fd5077ab1de60cb947821ccb15ddfe90c4fb591345301c9764a173a7a1","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/94612001033b9dae8cab993959b4dfc86a66c0f3fd5b199cde37490dc2900933"
"images/misc/dk_collection/353a - Apple Presents The IIc - Exploring Apple Logo.dsk","b4e92cb72e3e116e7377d72e307376c9a719a0231e5daa96a34bcf07049fff8b","LOGORUN","SYSTEM.APPLE","8fb30ba2a7b54d49b55536d13db8252d192f230df14a2f0eba5a8830c9fe1c2e","e44ba3e9ef9840bec2b28407a825d29f9fb3e0cc1c84f137fa0c887489e21af6","53534a6f9b4374c5b562658758b4795329b39335207c74c60ecd659656d53c38","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/b4e92cb72e3e116e7377d72e307376c9a719a0231e5daa96a34bcf07049fff8b"
"images/misc/dk_collection/331b - Apple Presents the IIc - The Apple at Work - 40-Column Writing, Figuring, and Filing.dsk","21a7a45844f9c8569369b47ee98506769314c4f793f5608d7f66f00ebf3bdd1b","WORK.40","SYSTEM.APPLE","6ab94396865ed6942ced3b61fe998b3d043d921a7566963dee64f74c48fd876e","efe7629a1794860c2db6919e3f0b3f6e9437c94438626e22dd78d9ac523a55eb","","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/21a7a45844f9c8569369b47ee98506769314c4f793f5608d7f66f00ebf3bdd1b"
"images/misc/3d0g_knight_collection/263b - Managing Your Money Budget Utilities.dsk","6f2f47659078223c3a3445ef4d8849d869c392891c5ab6b647143532d9d203e7","DISK6","SYSTEM.APPLE","96b3a45ae3486a211744af24da5ea18fddacb1800d9a65f5749333d66e574cbd","2ec2736219293eb985f5da6faa66c76606ea981f4984aba3d1b2131fc6117f2c","89b5219a76aa484a3bedea97075fdd9c3d1964e9079635271f57670ffa4fff45","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/6f2f47659078223c3a3445ef4d8849d869c392891c5ab6b647143532d9d203e7"
"images/misc/3d0g_knight_collection/086b - AppleWorks Tutorial - Side 2.dsk","e1c022e61a2c16c4e55d1d47d197bd439e4c2145da69637fee570ab3f6861320","AW.D2B","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","fab14497d8ba5290bbadd1f1c8db7ff05073dbdcd614f2f5d3bb82aa0fc86433","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/e1c022e61a2c16c4e55d1d47d197bd439e4c2145da69637fee570ab3f6861320"
"images/misc/3d0g_knight_collection/056b - Pro Blackjack.dsk","9777a2e0b2ba3df5b6676b9c01a6885b24630d42ec58a40cff52d1ae5189af61","WGBJV10","RTSTND.APPLE","41bf11dded33a57ec1091a466150bd4c18a480d65d89c2c949eda5a5998f9e23","aaa96b0c5648f67d1217e6cbbba76e5447531a0cfed515a49adcc6148e7b6220","00aac73bdb87d47fcd83483ef29c6b36d75397d56cd721edbad885473e29d20c","2ffb04276585facf6703ba691cfbc0cbf017eddedcdff54575320595bd960ed1","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/9777a2e0b2ba3df5b6676b9c01a6885b24630d42ec58a40cff52d1ae5189af61"
"images/misc/3d0g_knight_collection/074a - Apple Pilot.dsk","f31b0815a4da1f4bc61ae5ebef71ffe338f54e5466616bd232075016b6673acc","LESSONS","RT0006.APPLE","94eb6d37113cf3b9a8e2fa93aadafa08bac16fdcc578138fd9ace5848fd45a73","6dc9c38c6d99a5ea509b6d977b9729648e17bebf810eb9ef79bee1fcc07e7d01","6e03d304fe44a9492d92bf1fced61bde6f000f10a851f9a9d06dde11048de69c","77000b95cf63abb97971ac6236a79d05b1348a4f397ec132813b22df0498b6b3","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/f31b0815a4da1f4bc61ae5ebef71ffe338f54e5466616bd232075016b6673acc"
"images/misc/3d0g_knight_collection/157a - Dollars and Sense - Side 1.dsk","24effce908c7f70e7ecf99b4dfba6e30c8cb1fb986930cfc742bf72d5d7a8901","TFOS","RTSTRP.APPLE","93629b22a4916e1f8affaa738a0637665191940152928b5c7d876ff9d800a113","a146cda8cafb5f4b40ce7b271659b91871fdb35c2cf491e1741ab7cc6b94d325","66ae338094b72842ab2ebd350cffbb88fc8aeea26211c336c05a1b1d991292f0","6f95245e71173839bf5f064e06c4f78de1728c77bc9a4f04be58a1a1b44dc943","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/24effce908c7f70e7ecf99b4dfba6e30c8cb1fb986930cfc742bf72d5d7a8901"
