segment,procedure,lexLevel,addr,name,type
1,1,0,1,SYMBUFP,^SYMBUFARRAY
1,1,0,2,CODEP,^CODEARRAY
1,1,0,8,TOP,DISPRANGE
1,1,0,9,IC,ADDRRANGE
1,1,0,10,LC,ADDRRANGE
1,1,0,11,TEST,BOOLEAN
1,1,0,12,INTPTR,STP
1,1,0,13,SEG,SEGRANGE
1,1,0,14,SYMCURSOR,CURSRANGE
1,1,0,15,SY,SYMBOL
1,1,0,16,OP,OPERATOR
1,1,0,17,ID,ALPHA
1,1,0,22,LGTH,INTEGER
1,1,0,23,VAL,VALU
1,1,0,24,DISX,DISPRANGE
1,1,0,26,GETSTMTLEV,BOOLEAN
1,1,0,28,SYSCOMP,BOOLEAN
1,1,0,29,LIBNOTOPEN,BOOLEAN
1,1,0,30,FLIPBYTES,BOOLEAN
1,1,0,32,ININTERFACE,BOOLEAN
1,1,0,33,INMODULE,BOOLEAN
1,1,0,35,NOSWAP,BOOLEAN
1,1,0,37,USING,BOOLEAN
1,1,0,38,INCLUDING,BOOLEAN
1,1,0,39,DP,BOOLEAN
1,1,0,43,TINY,BOOLEAN
1,1,0,44,LIST,BOOLEAN
1,1,0,45,DLINKERINFO,BOOLEAN
1,1,0,46,CLINKERINFO,BOOLEAN
1,1,0,47,BPTONLINE,BOOLEAN
1,1,0,48,IOCHECK,BOOLEAN
1,1,0,49,CODEINSEG,BOOLEAN
1,1,0,50,NOISY,BOOLEAN
1,1,0,51,DEBUGGING,BOOLEAN
1,1,0,52,RANGECHECK,BOOLEAN
1,1,0,53,GOTOOK,BOOLEAN
1,1,0,54,PRTERR,BOOLEAN
1,1,0,55,STRGPTR,CTP
1,1,0,56,INTRACTVPTR,CTP
1,1,0,57,BYTESTRPTR,CTP
1,1,0,58,WORDSTRPTR,CTP
1,1,0,59,NILPTR,CTP
1,1,0,60,TEXTPTR,CTP
1,1,0,61,BOOLPTR,CTP
1,1,0,62,CHARPTR,CTP
1,1,0,64,REALPTR,CTP
1,1,0,66,USINGLIST,CTP
1,1,0,67,FWPTR,CTP
1,1,0,68,OUTERBLOCK,CTP
1,1,0,69,OUTPUTPTR,CTP
1,1,0,70,INPUTPTR,CTP
1,1,0,71,MODPTR,CTP
1,1,0,72,UFCTPTR,CTP
1,1,0,73,UPRCPTR,CTP
1,1,0,74,UFLDPTR,CTP
1,1,0,76,UVARPTR,CTP
1,1,0,77,UCSTPTR,CTP
1,1,0,78,UTYPPTR,CTP
1,1,0,79,GLOBTESTP,TESTP
1,1,0,80,LEVEL,LEVRANGE
1,1,0,81,STMTLEV,INTEGER
1,1,0,82,BEGSTMTLEV,INTEGER
1,1,0,84,TOS,LEXSTKREC
1,1,0,86,NEWBLOCK,BOOLEAN
1,1,0,92,SMALLESTSPACE,INTEGER
1,1,0,93,SYMBLK,INTEGER
1,1,0,94,STARTDOTS,INTEGER
1,1,0,95,SCREENDOTS,INTEGER
1,1,0,96,LINEINFO,INTEGER
1,1,0,97,LOWTIME,INTEGER
1,1,0,98,LINESTART,CURSRANGE
1,1,0,99,NEXTPROC,PROCRANGE
1,1,0,100,CURRPROC,INTEGER
1,1,0,101,TYPEDELS,SETOFSYS
1,1,0,105,STATBEGSYS,SETOFSYS
1,1,0,109,FACBEGSYS,SETOFSYS
1,1,0,113,SELECTSYS,SETOFSYS
1,1,0,117,BLOCKBEGSYS,SETOFSYS
1,1,0,121,TYPEBEGSYS,SETOFSYS
1,1,0,125,SIMPTYPEBEGSYS,SETOFSYS
1,1,0,129,CONSTBEGSYS,SETOFSYS
1,1,0,133,VARS,SETOFIDS
1,1,0,134,DISPLAY,ARRAY OF RECORD
1,1,0,190,PROCTABLE,ARRAY [PROCRANGE] OF INTEGER
1,1,0,445,SEGTABLE,ARRAY [SEGRANGE] OF RECORD
1,1,0,605,COMMENT,STRING
1,1,0,665,REFFILE,FILE
1,1,0,705,REFBLK,INTEGER
1,1,0,708,ERRSTART,INTEGER
1,1,0,709,PREVSYMBLK,INTEGER
1,1,0,710,OLDSYMBLK,INTEGER
1,1,0,711,PREVLINESTART,CURSRANGE
1,1,0,712,PREVSYMCURSOR,CURSRANGE
1,1,0,713,OLDLINESTART,CURSRANGE
1,1,0,714,OLDSYMCURSOR,CURSRANGE
1,1,0,715,USEFILE,UNITFILE
1,1,0,716,LIBRARY,FILE
1,1,0,756,INCLFILE,FILE
1,1,0,796,LP,TEXT
1,1,0,965,WINDOW4,WINDOWP
1,1,0,1016,WINDOW2,WINDOWP
1,1,0,1056,WINDOW3,WINDOWP
1,1,0,1096,WINDOW1,WINDOWP
1,1,0,1097,CURBLK,INTEGER
1,1,0,1098,CURBYTE,INTEGER
1,1,0,1099,DISKBUF,PACKED ARRAY [0..511] OF CHAR
1,4,1,1,ERRORNUM,INTEGER
1,4,1,2,CH,CHAR
1,4,1,3,ERRSTART,INTEGER
1,4,1,4,A,PACKED ARRAY[0..179] OF CHAR
1,6,1,1,STARORC,CHAR
1,6,1,2,DORLEV,CHAR
1,6,1,3,LENG,INTEGER
1,6,1,4,A,PACKED ARRAY [0..99] OF CHAR
1,7,1,1,FCP,CTP
1,7,1,2,LCP1,CTP
1,7,1,3,LCP,CTP
1,7,1,4,I,INTEGER
1,9,1,1,FCP1,CTP
1,9,1,2,FCP,CTP
1,10,1,2,FIDCLS,SETOFIDS
1,10,1,3,LCP,CTP
1,23,1,2,TEMP,CHAR
1,24,1,1,FORCEBUF,BOOLEAN
1,24,1,2,I,INTEGER
1,24,1,3,LIC,INTEGER
1,24,1,4,CODEINX,INTEGER
1,25,1,1,I,INTEGER
1,28,2,1,STOPPER,CHAR
7,1,1,259,LSTFILE,STRING
7,1,1,301,ERRCODE,INTEGER
7,1,1,302,LSTFNLEN,INTEGER
7,3,2,1,CP1,CTP
7,3,2,2,CP,CTP
7,3,2,3,I,INTEGER
7,7,2,1,LCP,CTP
7,7,2,2,I,INTEGER
7,7,2,3,ISFUNC,BOOLEAN
7,8,2,1,PARAM,CTP
7,8,2,3,FTYPE,STP
7,8,2,5,I,INTEGER
7,8,2,6,ISPROC,BOOLEAN
8,10,2,1,LCP,CTP
18,1,1,3,STOPPER,CHAR
18,1,1,5,SW,
18,1,1,7,LTITLE,STRING
