segment,procedure,lexLevel,addr,name,type
0,,-1,1,SYSCOM,SYSCOMREC
0,,-1,2,INPUT,FIBP
0,,-1,3,OUTPUT,FIBP
0,,-1,4,SYSTERM,FIBP
0,,-1,8,USERINFO.CODEFIBP,FIBP
0,,-1,9,USERINFO.SYMFIB,FIBP
0,,-1,10,USERINFO.ERRNUM,INTEGER
0,,-1,11,USERINFO.ERRBLK,INTEGER
0,,-1,12,USERINFO.ERRSYM,INTEGER
0,,-1,13,USERINFO.STUPID,BOOLEAN
0,,-1,14,USERINFO.SLOWTERM,BOOLEAN
0,,-1,15,USERINFO.ALTMODE,CHAR
0,,-1,16,USERINFO.GOTCODE,BOOLEAN
0,,-1,17,USERINFO.GOTSYM,BOOLEAN
0,,-1,18,USERINFO.CODEVID,VID
0,,-1,22,USERINFO.SYMVID,VID
0,,-1,26,USERINFO.WORKVID,VID
0,,-1,30,USERINFO.CODETID,TID
0,,-1,38,USERINFO.SYMTID,TID
0,,-1,46,USERINFO.WORKTID,TID
0,,-1,54,EMPTYHEAP,^INTEGER
0,,-1,55,SWAPFIB,FIBP
0,,-1,56,SYSTERM,FIBP
0,,-1,57,OUTPUTFIB,FIBP
0,,-1,58,INPUTFIB,FIBP
0,,-1,59,DKVID,VID
0,,-1,63,SYVID,VID
0,,-1,67,THEDATE,DATEREC
0,,-1,68,DEBUGINFO,^INTEGER
0,,-1,69,STATE,CMDSTATE
0,,-1,70,PL,STRING
0,,-1,111,IPOT,ARRAY [0..4] OF INTEGER
0,,-1,116,FILLER,STRING[FILL_LEN]
0,,-1,122,DIGITS,SET OF '0'..'9'
0,,-1,126,UNITABLE,ARRAY OF UNITREC
