segmentNumber,segmentName,procNumber,procName,isFunction,isAssembly,parameters,returnType
1,PASCALCOMPILER,1,PASCALCOMPILER,false,false,JUNK1:INTEGER;JUNK2:INTEGER,
1,PASCALCOMPILER,2,,false,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,3,,false,false,,
1,PASCALCOMPILER,4,,false,false,,
1,PASCALCOMPILER,5,,false,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,6,,false,false,,
1,PASCALCOMPILER,7,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN,
1,PASCALCOMPILER,8,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN,
1,PASCALCOMPILER,9,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN,
1,PASCALCOMPILER,10,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN,
1,PASCALCOMPILER,11,,true,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,12,,true,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,13,,true,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,14,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN;PARAM5:UNKNOWN;PARAM6:UNKNOWN,
1,PASCALCOMPILER,15,,true,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN,
1,PASCALCOMPILER,16,,false,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,17,,false,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,18,,false,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,19,,false,false,,
1,PASCALCOMPILER,20,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN,
1,PASCALCOMPILER,21,,false,false,,
1,PASCALCOMPILER,22,,false,false,,
1,PASCALCOMPILER,23,,false,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,24,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN,
1,PASCALCOMPILER,25,,false,false,,
1,PASCALCOMPILER,26,,false,false,,
1,PASCALCOMPILER,27,,false,false,,
1,PASCALCOMPILER,28,,true,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,29,,false,false,PARAM1:UNKNOWN,
1,PASCALCOMPILER,30,,false,false,,
1,PASCALCOMPILER,31,,false,false,,
7,COMPINIT,1,COMPINIT,false,false,,
7,COMPINIT,2,,false,false,,
7,COMPINIT,3,,false,false,,
7,COMPINIT,4,,false,false,,
7,COMPINIT,5,,false,false,PARAM1:UNKNOWN,
7,COMPINIT,6,,false,false,PARAM1:UNKNOWN,
7,COMPINIT,7,,false,false,,
7,COMPINIT,8,,false,false,,
7,COMPINIT,9,,false,false,,
7,COMPINIT,10,,false,false,,
8,DECLARATIONPART,1,DECLARATIONPART,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN,
8,DECLARATIONPART,2,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN,
8,DECLARATIONPART,3,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN;PARAM5:UNKNOWN;PARAM6:UNKNOWN,
8,DECLARATIONPART,4,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN;PARAM5:UNKNOWN;PARAM6:UNKNOWN,
8,DECLARATIONPART,5,,true,false,PARAM1:UNKNOWN,
8,DECLARATIONPART,6,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN;PARAM5:UNKNOWN,
8,DECLARATIONPART,7,,false,false,PARAM1:UNKNOWN,
8,DECLARATIONPART,8,,false,false,,
8,DECLARATIONPART,9,,false,false,,
8,DECLARATIONPART,10,,false,false,,
8,DECLARATIONPART,11,,false,false,PARAM1:UNKNOWN,
8,DECLARATIONPART,12,,false,false,PARAM1:UNKNOWN,
8,DECLARATIONPART,13,,true,false,,
8,DECLARATIONPART,14,,true,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN,
8,DECLARATIONPART,15,,false,false,,
8,DECLARATIONPART,16,,false,false,,
8,DECLARATIONPART,17,,false,false,,
8,DECLARATIONPART,18,,false,false,,
8,DECLARATIONPART,19,,false,false,,
8,DECLARATIONPART,20,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN,
8,DECLARATIONPART,21,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN;PARAM5:UNKNOWN;PARAM6:UNKNOWN,
9,BODYPART,1,BODYPART,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN;PARAM5:UNKNOWN,
9,BODYPART,2,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN,
9,BODYPART,3,,false,false,PARAM1:UNKNOWN,
9,BODYPART,4,,false,false,PARAM1:UNKNOWN,
9,BODYPART,5,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN,
9,BODYPART,6,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN,
9,BODYPART,7,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN,
9,BODYPART,8,,false,false,,
9,BODYPART,9,,false,false,,
9,BODYPART,10,,false,false,,
9,BODYPART,11,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN,
9,BODYPART,12,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN,
9,BODYPART,13,,false,false,PARAM1:UNKNOWN,
9,BODYPART,14,,false,false,PARAM1:UNKNOWN,
9,BODYPART,15,,false,false,PARAM1:UNKNOWN,
9,BODYPART,16,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN,
9,BODYPART,17,,false,false,PARAM1:UNKNOWN,
9,BODYPART,18,,false,false,PARAM1:UNKNOWN,
