segmentNumber,segmentName,procNumber,procName,isFunction,isAssembly,parameters,returnType
1,USERPROG,1,,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN,
2,FIOPRIMS,1,FIOPRIMS,false,false,,
2,FIOPRIMS,2,FGETSOFTBUF,true,false,F:FIB,BOOLEAN
2,FIOPRIMS,3,PROCESSDLE,true,false,F:FIB,BOOLEAN
2,FIOPRIMS,4,DOENDOFPAGE,false,false,F:FIB,
2,FIOPRIMS,5,FPUTSOFTBUF,true,false,F:FIB,BOOLEAN
3,PRINTERR,1,PRINTERROR,false,false,ERRNUM:INTEGER;IOERROR:INTEGER,
4,INITIALI,1,INITIALIZE,false,false,,
4,INITIALI,2,INITSYSCOM,false,false,,
4,INITIALI,3,INIT_FILLER,false,false,FILLER:STRING,
4,INITIALI,4,SETPREFIXEDCRTCTL,false,false,WHICH:INTEGER;COMMANCHAR:CHAR,
4,INITIALI,5,SETPREFIXEDCRTINFO,false,false,WHICH:INTEGER;COMMANCHAR:CHAR,
4,INITIALI,6,INITUNITTABLE,false,false,,
4,INITIALI,7,INIT_ENTRY,false,false,LUNIT:UNITNUM;UNIT_NAME:VID,
4,INITIALI,8,INITHEAP,false,false,,
4,INITIALI,9,INITWORKFILE,false,false,,
4,INITIALI,10,TRY_OPEN,false,false,PARAM1:UNKNOWN;PARAM2:UNKNOWN;PARAM3:UNKNOWN;PARAM4:UNKNOWN;PARAM5:UNKNOWN,
4,INITIALI,11,INITFILES,false,false,,
5,GETCMD,1,GETCMD,true,false,LASTST:CMDSTATE,CMDSTATE
5,GETCMD,2,RUNWORKFILE,false,false,OKTOLINK:BOOLEAN,
5,GETCMD,3,SYS_ASSOCIATE,true,false,SYS_NAME:SYSFILE;B:BOOLEAN,BOOLEAN
5,GETCMD,4,YESORNO,true,false,,BOOLEAN
5,GETCMD,5,GETSEGNUM,true,false,SEGDICT:SEGMENTDICTIONARY;SEGIDX:INTEGER,INTEGER
5,GETCMD,6,MISSINGFILE,true,false,S:STRING,BOOLEAN
5,GETCMD,7,,true,false,SEGDICT:SEGMENTDICTIONARY,BOOLEAN
5,GETCMD,8,,false,false,SEGDICT:SEGMENTDICTIONARY,
5,GETCMD,9,,false,false,,
5,GETCMD,10,LOADUSERSEGS,false,false,SEGDICT:SEGMENTDICTIONARY;F:FIB,
5,GETCMD,11,FINDSEGSOFKIND,true,false,SEGDICT:SEGMENTDICTIONARY;FOUNDSEGS:SET OF 0..31;KINDS:SET OF SEGKIND,BOOLEAN
5,GETCMD,12,LOADINTRINSICS,true,false,LIBNAME:STRING,BOOLEAN
5,GETCMD,13,ASSOCIATE,true,false,TITLE:STRING;OKTOLINK:BOOLEAN;RUNONLY:BOOLEAN;ERROR_OK:BOOLEAN;ASS_STATUS:STATUS_ASSOCIATE;PARAM6:BOOLEAN,BOOLEAN
5,GETCMD,14,STARTCOMPILE,false,false,NEXTST:CMDSTATE,
5,GETCMD,15,DELETELEADINGSPACES,false,false,,
5,GETCMD,16,FINISHCOMPILE,false,false,,
5,GETCMD,17,EXECERROR,false,false,ERRTYPE:INTEGER,
5,GETCMD,18,,false,false,,
5,GETCMD,19,EXECUTE,false,false,USEGLOBALTITLE:BOOLEAN,
5,GETCMD,20,SWAPPING,false,false,,
5,GETCMD,21,MAKEEXEC,false,false,,
6,FILEPROC,1,FILEPROC,false,false,OPERATION:INTEGER;F:FIB;TITLE:STRING;PARAM4:BOOLEAN;PARAM5:FIBP;PARAM6:INTEGER,
6,FILEPROC,2,RESETER,false,false,F:FIB,
6,FILEPROC,3,FRESET,false,false,F:FIB,
6,FILEPROC,4,FOPEN,false,false,F:FIB;FTITLE:STRING;FOPENOLD:BOOLEAN;JUNK:FIBP,
6,FILEPROC,5,ENTERTEMP,true,false,FTID:TID;FSEGS:INTEGER;FKIND:FILEKIND;FDIR:DIRP,DIRRANGE
6,FILEPROC,6,,false,false,PARAM1:INTEGER;PARAM2:INTEGER;PARAM3:INTEGER,
6,FILEPROC,7,FCLOSE,false,false,F:FIB;FTYPE:CLOSETYPE,
6,FILEPROC,8,PARSECMD,false,false,PARAM1:STRING;PARAM2:BOOLEAN;PARAM3:INTEGER,
