segmentNumber,segmentName,procNumber,procName,isFunction,isAssembly,parameters,returnType
0,PASCALSYSTEM,1,PASCALSYSTEM,false,false,,
0,PASCALSYSTEM,2,EXECERROR,false,false,,
0,PASCALSYSTEM,3,FINIT,false,false,F:FIB;WINDOW:WINDOWP;RECWORDS:INTEGER,
0,PASCALSYSTEM,4,FRESET,false,false,F:FIB,
0,PASCALSYSTEM,5,FOPEN,false,false,F:FIB;FTITLE:STRING;FOPENOLD:BOOLEAN;JUNK:FIBP,
0,PASCALSYSTEM,6,FCLOSE,false,false,F:FIB;FTYPE:CLOSETYPE,
0,PASCALSYSTEM,7,FGET,false,false,F:FIB,
0,PASCALSYSTEM,8,FPUT,false,false,F:FIB,
0,PASCALSYSTEM,9,XSEEK,false,false,,
0,PASCALSYSTEM,10,FEOF,true,false,F:FIB,BOOLEAN  
0,PASCALSYSTEM,11,FEOLN,true,false,F:FIB,BOOLEAN
0,PASCALSYSTEM,12,FREADINT,false,false,F:FIB;I:INTEGER,
0,PASCALSYSTEM,13,FWRITEINT,false,false,F:FIB;I:INTEGER;RLENG:INTEGER,
0,PASCALSYSTEM,14,XREADREAL,false,false,,
0,PASCALSYSTEM,15,XWRITEREAL,false,false,,
0,PASCALSYSTEM,16,FREADCHAR,false,false,F:FIB;CH:CHAR,
0,PASCALSYSTEM,17,FWRITECHAR,false,false,F:FIB;CH:CHAR;RLENG:INTEGER,
0,PASCALSYSTEM,18,FREADSTRING,false,false,F:FIB;S:STRING;SLENG:INTEGER,
0,PASCALSYSTEM,19,FWRITESTRING,false,false,F:FIB;S:STRING;SLENG:INTEGER,
0,PASCALSYSTEM,20,FWRITEBYTES,false,false,F:FIB;A:WINDOW;RLENG:INTEGER;ALENG:INTEGER,
0,PASCALSYSTEM,21,FREADLN,false,false,F:FIB,
0,PASCALSYSTEM,22,FWRITELN,false,false,F:FIB,
0,PASCALSYSTEM,23,SCONCAT,false,false,DEST:STRING;SRC:STRING;DESTLENG:INTEGER,
0,PASCALSYSTEM,24,SINSERT,false,false,SRC:STRING;DEST:STRING;DESTLENG:INTEGER;INSINX:INTEGER,
0,PASCALSYSTEM,25,SCOPY,false,false,SRC:STRING;DEST:STRING;SRCINX:INTEGER;COPYLENG:INTEGER,
0,PASCALSYSTEM,26,SDELETE,false,false,DEST:STRING;DELINX:INTEGER;DELLENG:INTEGER,
0,PASCALSYSTEM,27,SPOS,true,false,TARGET:STRING;SRC:STRING,INTEGER
0,PASCALSYSTEM,28,FBLOCKIO,true,false,F:FIB;A:WINDOW;I:INTEGER;NBLOCKS:INTEGER;RBLOCK:INTEGER;DOREAD:BOOLEAN,INTEGER
0,PASCALSYSTEM,29,FGOTOXY,false,false,X:INTEGER;Y:INTEGER,
0,PASCALSYSTEM,30,VOLSEARCH,true,false,FVID:VID;LOOKHARD:BOOLEAN;FDIR:DIRP,UNITNUM
0,PASCALSYSTEM,31,WRITEDIR,false,false,FUNIT:UNITNUM;FDIR:DIRP,
0,PASCALSYSTEM,32,DIRSEARCH,true,false,FTID:TID;FINDPERM:BOOLEAN;FDIR:DIRP,DIRRANGE
0,PASCALSYSTEM,33,SCANTITLE,true,false,FTITLE:STRING;FVID:VID;FTID:TID;FSEGS:INTEGER;FKIND:FILEKIND,BOOLEAN
0,PASCALSYSTEM,34,DELENTRY,false,false,FINX:DIRRANGE;FDIR:DIRP,
0,PASCALSYSTEM,35,INSENTRY,false,false,FENTRY:DIRENTRY;FINX:DIRRANGE;FDIR:DIRP,
0,PASCALSYSTEM,36,HOMECURSOR,false,false,,
0,PASCALSYSTEM,37,CLEARSCREEN,false,false,,
0,PASCALSYSTEM,38,CLEARLINE,false,false,,
0,PASCALSYSTEM,39,PROMPT,false,false,,
0,PASCALSYSTEM,40,SPACEWAIT,true,false,FLUSH:BOOLEAN,BOOLEAN
0,PASCALSYSTEM,41,GETCHAR,true,false,FLUSH:BOOLEAN,CHAR
0,PASCALSYSTEM,42,FETCHDIR,true,false,FUNIT:UNITNUM,BOOLEAN
0,PASCALSYSTEM,43,PARSECMD,false,false,TITLE:STRING;PARAM2:BOOLEAN;PARAM3:INTEGER,
0,PASCALSYSTEM,44,PROC44,false,false,CH:CHAR,
0,PASCALSYSTEM,45,PROC45,false,false,PARM1:BOOLEAN,
0,PASCALSYSTEM,46,LOADEXECFILE,false,false,,
0,PASCALSYSTEM,47,SAVEEXECFILE,false,false,,
0,PASCALSYSTEM,48,COMMAND,false,false,,
0,PASCALSYSTEM,49,CANTSTRETCH,true,false,F:FIB,BOOLEAN
0,PASCALSYSTEM,50,WAITSYSVOL,false,false,,
0,PASCALSYSTEM,51,PRINTLOCS,false,false,,
0,PASCALSYSTEM,52,PRINTEXECERR,false,false,,
0,PASCALSYSTEM,53,PUTPREFIXED,false,false,WHICH:INTEGER;COMMANDCHAR:CHAR,
0,PASCALSYSTEM,54,CHECKDEL,true,false,CH:CHAR;SINX:INTEGER;S:STRING,BOOLEAN
0,PASCALSYSTEM,55,DOBLOCKIO,false,false,UNIT:INTEGER;BUFFADDR:INTEGER;BUFFOFFS:INTEGER;TOTALBLKS:INTEGER;STARTBLK:INTEGER;DOREAD:BOOLEAN,
